definition,word,block,modality,thisN,thisTrialN,thisRepN,rating_response.keys,break_resp.keys,break_resp.rt,break_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,trial.started,visual_stimulus.started,auditory_icon.started,audio_stim.started,rating_response.started,visual_stimulus.stopped,auditory_icon.stopped,audio_stim.stopped,rating_response.stopped,trial.stopped,trials.rating_response.keys,Break.started,Break.stopped,trials.break_resp.keys,break_text.started,break_resp.started,trials.break_resp.rt,trials.break_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.001611800049431622,0.0036291000433266163,0.0036291000433266163,4.213851399952546,space,4.204628600040451,None,,,,,,,,,,,,,,,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A portable shadow box,SUITCASE,1,visual,0,0,0,None,None,,,0,0,0,0,4.229553899960592,,,,,,,,,4.227770400000736,4.711424899986014,4.711424899986014,4.717944766689713,4.711424899986014,9.735792299965397,9.735792299965397,9.735792299965397,9.735792299965397,9.721837899996899,None,9.721949000027962,9.72200619999785,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A silent drummer,HEART,1,visual,1,1,0,None,None,,,0,1,1,1,9.735792299965397,,,,,,,,,9.73439190001227,10.22102569998242,10.22102569998242,10.2276291666242,10.22102569998242,15.23187300004065,15.23187300004065,15.23187300004065,15.23187300004065,15.2176309999777,None,15.217721999972127,15.217760600033216,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A spoon with ambition,SHOVEL,1,visual,2,2,0,None,None,,,0,2,2,2,15.23187300004065,,,,,,,,,15.230376600055024,15.710344600025564,15.710344600025564,15.716962266659054,15.710344600025564,20.726819699979387,20.726819699979387,20.726819699979387,20.726819699979387,20.71093810000457,None,20.71104009996634,20.71110439999029,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A metal tongue for guitars,PICK,1,visual,3,3,0,None,None,,,0,3,3,3,20.726819699979387,,,,,,,,,20.725313000031747,21.20935520005878,21.20935520005878,21.216065966702686,21.20935520005878,26.225149599951692,26.225149599951692,26.225149599951692,26.225149599951692,26.213142200023867,None,26.213254500064068,26.21333129995037,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A glass slipper for drinks,CUP,1,visual,4,4,0,None,None,,,0,4,4,4,26.225149599951692,,,,,,,,,26.22364079998806,26.708926200051792,26.708926200051792,26.715453766697706,26.708926200051792,31.724630899960175,31.724630899960175,31.724630899960175,31.724630899960175,31.71169959998224,None,31.711792099988088,31.711832100059837,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A glass drum,BOWL,1,visual,5,5,0,None,None,,,0,5,5,5,31.724630899960175,,,,,,,,,31.723329200060107,32.208288399968296,32.208288399968296,32.214674666702436,32.208288399968296,37.226060100016184,37.226060100016184,37.226060100016184,37.226060100016184,37.21289480000269,None,37.212995999958366,37.21304369997233,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A house for wheels,PARKINGLOT,1,visual,6,6,0,None,None,,,0,6,6,6,37.226060100016184,,,,,,,,,37.224393200012855,37.70737329998519,37.70737329998519,37.71406986663739,37.70737329998519,42.725358200026676,42.725358200026676,42.725358200026676,42.725358200026676,42.71023750002496,None,42.71035439998377,42.71040580002591,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A glass stomach for flowers,VASE,1,visual,7,7,0,None,None,,,0,7,7,7,42.725358200026676,,,,,,,,,42.723124300013296,43.206577399978414,43.206577399978414,43.21320046665302,43.206577399978414,48.220584199996665,48.220584199996665,48.220584199996665,48.220584199996665,48.21053140005097,None,48.210666300030425,48.21071849996224,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
A pocket refrigerator,COOLER,1,visual,8,8,0,None,None,,,0,8,8,8,48.220584199996665,,,,,,,,,48.21898999996483,48.70602359995246,48.70602359995246,48.712664266644666,48.70602359995246,53.7231582000386,53.7231582000386,53.7231582000386,53.7231582000386,53.712071700021625,None,53.71218170004431,53.712238000007346,None,,,,,ttt,encoding,2026-03-23_20h44.06.145,encoding_phase,,2025.1.1,100.12696104415521,2026-03-23 20h44.08.998837 +0530,
