definition,word,block,modality,thisN,thisTrialN,thisRepN,rating_response.keys,rating_response.rt,rating_response.duration,break_resp.keys,break_resp.rt,break_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,trial.started,visual_stimulus.started,auditory_icon.started,audio_stim.started,rating_response.started,rating_prompt.started,visual_stimulus.stopped,auditory_icon.stopped,audio_stim.stopped,rating_response.stopped,rating_prompt.stopped,trial.stopped,trials.rating_response.keys,trials.rating_response.rt,trials.rating_response.duration,Break.started,Break.stopped,trials.break_resp.keys,break_text.started,break_resp.started,trials.break_resp.rt,trials.break_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0014587000478059053,0.003765600034967065,0.003765600034967065,5.171483400044963,space,5.161517100059427,None,,,,,,,,,,,,,,,,,,,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A portable shadow box,SUITCASE,1,visual,0,0,0,4,2.123488200013526,0.11212499998509884,None,,,0,0,0,0,5.187229600036517,,,,,,,,,5.18541290005669,5.665588100091554,5.665588100091554,5.67221486667792,5.665588100091554,5.665588100091554,10.67999710002914,10.67999710002914,10.67999710002914,10.67999710002914,10.67999710002914,10.66503230005037,4,2.123488200013526,0.11212499998509884,10.665150900022127,10.665201300056651,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A silent drummer,HEART,1,visual,1,1,0,5,2.5282178000779822,0.10349429992493242,None,,,0,1,1,1,10.67999710002914,,,,,,,,,10.67846520000603,11.165191800100729,11.165191800100729,11.17158526677328,11.165191800100729,11.165191800100729,16.18137270002626,16.18137270002626,16.18137270002626,16.18137270002626,16.18137270002626,16.167383800027892,5,2.5282178000779822,0.10349429992493242,16.16751690011006,16.167562700109556,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A spoon with ambition,SHOVEL,1,visual,2,2,0,3,2.917110600043088,0.11208759993314743,None,,,0,2,2,2,16.18137270002626,,,,,,,,,16.179972000070848,16.664132400066592,16.664132400066592,16.67081766674916,16.664132400066592,16.664132400066592,21.68525260000024,21.68525260000024,21.68525260000024,21.68525260000024,21.68525260000024,21.668410400045104,3,2.917110600043088,0.11208759993314743,21.66852580010891,21.668574400013313,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A metal tongue for guitars,PICK,1,visual,3,3,0,5,2.922367599909194,0.10356410010717809,None,,,0,3,3,3,21.68525260000024,,,,,,,,,21.68382020003628,22.16334700002335,22.16334700002335,22.170046266696104,22.16334700002335,22.16334700002335,27.184520000009798,27.184520000009798,27.184520000009798,27.184520000009798,27.184520000009798,27.167583900038153,5,2.922367599909194,0.10356410010717809,27.167699600104243,27.167746300110593,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A glass slipper for drinks,CUP,1,visual,4,4,0,2,2.086473000003025,0.12026399991009384,None,,,0,4,4,4,27.184520000009798,,,,,,,,,27.18279000010807,27.662739200051874,27.662739200051874,27.669462966678353,27.662739200051874,27.662739200051874,32.67783160007093,32.67783160007093,32.67783160007093,32.67783160007093,32.67783160007093,32.66587280004751,2,2.086473000003025,0.12026399991009384,32.665954300086014,32.66598980000708,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A glass drum,BOWL,1,visual,5,5,0,1,3.395025199977681,0.15214470005594194,None,,,0,5,5,5,32.67783160007093,,,,,,,,,32.67651090002619,33.16203160001896,33.16203160001896,33.16855886666259,33.16203160001896,33.16203160001896,38.17628010001499,38.17628010001499,38.17628010001499,38.17628010001499,38.17628010001499,38.16475180000998,1,3.395025199977681,0.15214470005594194,38.16482740000356,38.16485760000069,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A house for wheels,PARKINGLOT,1,visual,6,6,0,2,2.895690400036983,0.12010759999975562,None,,,0,6,6,6,38.17628010001499,,,,,,,,,38.1748659000732,38.66135330009274,38.66135330009274,38.66795696673604,38.66135330009274,38.66135330009274,43.67509770009201,43.67509770009201,43.67509770009201,43.67509770009201,43.67509770009201,43.66394760005642,2,2.895690400036983,0.12010759999975562,43.66403490002267,43.66407020005863,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A glass stomach for flowers,VASE,1,visual,7,7,0,2,2.6445639999583364,0.10402900003828108,None,,,0,7,7,7,43.67509770009201,,,,,,,,,43.67338260007091,44.16061360004824,44.16061360004824,44.167321866673106,44.16061360004824,44.16061360004824,49.18057320010848,49.18057320010848,49.18057320010848,49.18057320010848,49.18057320010848,49.16623120009899,2,2.6445639999583364,0.10402900003828108,49.166347600053996,49.16639940009918,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
A pocket refrigerator,COOLER,1,visual,8,8,0,3,4.345110099995509,0.12014810007531196,None,,,0,8,8,8,49.18057320010848,,,,,,,,,49.1789041000884,49.65995450003538,49.65995450003538,49.66652546666252,49.65995450003538,49.65995450003538,54.678352900082245,54.678352900082245,54.678352900082245,54.678352900082245,54.678352900082245,54.66508120007347,3,4.345110099995509,0.12014810007531196,54.66518700006418,54.665229200036265,None,,,,,ttt,encoding,2026-03-23_20h52.18.752,encoding_phase,,2025.1.1,99.9817033486403,2026-03-23 20h52.25.161364 +0530,
