definition,word,block,modality,thisN,thisTrialN,thisRepN,rating_response.keys,rating_response.rt,rating_response.duration,break_resp.keys,break_resp.rt,break_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,trial.started,visual_stimulus.started,auditory_icon.started,audio_stim.started,visual_stimulus.stopped,auditory_icon.stopped,audio_stim.stopped,rating_response.started,rating_prompt.started,trial.stopped,trials.rating_response.keys,trials.rating_response.rt,trials.rating_response.duration,Break.started,Break.stopped,trials.break_resp.keys,break_text.started,break_resp.started,trials.break_resp.rt,trials.break_resp.duration,End.started,end_text.started,end_key.started,End.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0018845000304281712,0.004188199993222952,0.004188199993222952,4.399474999983795,space,4.388118500006385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
A portable shadow box,SUITCASE,1,visual,0,0,0,4,6.87403920001816,None,None,,,0,0,0,0,4.412350200000219,,,,,,,,,4.410708499955945,4.893780400045216,4.893780400045216,4.900454566643263,9.90191410004627,9.90191410004627,9.90191410004627,9.90191410004627,9.90191410004627,16.78264989994932,4,6.87403920001816,None,16.782737700035796,16.78277159994468,None,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
A silent drummer,HEART,1,visual,1,1,0,3,1.9182684000115842,None,None,,,0,1,1,1,16.792065599933267,,,,,,,,,16.79033809993416,17.28227089997381,17.28227089997381,17.288901266704002,22.289496100042015,22.289496100042015,22.289496100042015,22.289496100042015,22.289496100042015,24.211849199957214,3,1.9182684000115842,None,24.2119173000101,24.21194079995621,None,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
A spoon with ambition,SHOVEL,1,visual,2,2,0,2,1.9196223999606445,None,None,,,0,2,2,2,24.225074899964966,,,,,,,,,24.223276400007308,24.71156670001801,24.71156670001801,24.71809466666697,29.72066560003441,29.72066560003441,29.72066560003441,29.72066560003441,29.72066560003441,31.651309399981983,2,1.9196223999606445,None,31.65143570001237,31.651485900045373,None,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
A metal tongue for guitars,PICK,1,visual,3,3,0,4,1.3264045000541955,None,None,,,0,3,3,3,31.66409350000322,,,,,,,,,31.662613500026055,32.15062289999332,32.15062289999332,32.15718466666682,37.15402419993188,37.15402419993188,37.15402419993188,37.15402419993188,37.15402419993188,38.4904397999635,4,1.3264045000541955,None,38.49055939994287,38.490606599953026,None,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
A glass slipper for drinks,CUP,1,visual,4,4,0,2,1.2555119000608101,None,None,,,0,4,4,4,38.50271160004195,,,,,,,,,38.50117509998381,38.98956889996771,38.98956889996771,38.996126366608465,43.99290710000787,43.99290710000787,43.99290710000787,43.99290710000787,43.99290710000787,45.2594315999886,2,1.2555119000608101,None,45.25950909999665,45.2595368999755,None,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
A glass drum,BOWL,1,visual,5,5,0,4,1.4037755000172183,None,None,,,0,5,5,5,45.27113290003035,,,,,,,,,45.26983649993781,45.75876390002668,45.75876390002668,45.76534126670255,50.76492450002115,50.76492450002115,50.76492450002115,50.76492450002115,50.76492450002115,52.17838880000636,4,1.4037755000172183,None,52.178536999970675,52.17858419998083,None,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
A house for wheels,PARKINGLOT,1,visual,6,6,0,4,1.406691399984993,None,None,,,0,6,6,6,52.190717899939045,,,,,,,,,52.18926240003202,52.67780850001145,52.67780850001145,52.6845072666804,57.68137709994335,57.68137709994335,57.68137709994335,57.68137709994335,57.68137709994335,59.097511400002986,4,1.406691399984993,None,59.09764609998092,59.09769119997509,None,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
A glass stomach for flowers,VASE,1,visual,7,7,0,1,0.6055653999792412,None,None,,,0,7,7,7,59.10850530001335,,,,,,,,,59.107082600006834,59.596991099999286,59.596991099999286,59.60351386660865,64.60265170002822,64.60265170002822,64.60265170002822,64.60265170002822,64.60265170002822,65.216814699932,1,0.6055653999792412,None,65.21693899994716,65.21698489994742,None,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
A pocket refrigerator,COOLER,1,visual,8,8,0,3,0.4802740999730304,None,None,,,0,8,8,8,65.22960960003547,,,,,,,,,65.22788190003484,65.716271399986,65.716271399986,65.72277846670865,70.71983590000309,70.71983590000309,70.71983590000309,70.71983590000309,70.71983590000309,71.20601900003385,3,0.4802740999730304,None,71.20615849993192,71.20620699995197,None,,,,,,,,,,,,tttt,encoding,2026-03-23_21h03.53.493,encoding_phase,,2025.1.1,99.99880002854516,2026-03-23 21h03.57.935096 +0530,
