definition,word,old_new,correct_old_new,thisN,thisTrialN,thisRepN,typed_response_2.text,recall_submit_2.keys,recall_submit_2.rt,recall_submit_2.duration,recog_key_2.keys,recog_key_2.rt,recog_key_2.duration,source_key_2.keys,rk_response_2.keys,source_key_2.rt,source_key_2.duration,rk_response_2.rt,rk_response_2.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials_retrieval.thisRepN,trials_retrieval.thisTrialN,trials_retrieval.thisN,trials_retrieval.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text_3.started,key_resp_4.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_instructions.started,prac_inst.started,prac_key.started,prac_instructions.stopped,prac_key.keys,prac_key.rt,prac_key.duration,prac_cued_recall.started,recall_prompt_2.started,typed_response_2.started,recall_submit_2.started,prac_cued_recall.stopped,prac_trials.typed_response_2.text,prac_trials.recall_submit_2.keys,prac_trials.recall_submit_2.rt,prac_trials.recall_submit_2.duration,prac_recall_fb.started,prac_recall_fb.stopped,prac_recog.started,recog_prompt_2.started,recog_key_2.started,prac_recog.stopped,prac_trials.recog_key_2.keys,prac_trials.recog_key_2.rt,prac_trials.recog_key_2.duration,prac_source.started,prac_source.stopped,prac_trials.source_key_2.keys,prac_rem_know.started,prac_rem_know.stopped,prac_trials.rk_response_2.keys,source_prompt_2.started,source_key_2.started,prac_trials.source_key_2.rt,prac_trials.source_key_2.duration,rk_prompt_2.started,rk_response_2.started,prac_trials.rk_response_2.rt,prac_trials.rk_response_2.duration,main_exp_inst.started,text_4.started,key_resp_3.started,main_exp_inst.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cued_recall.started,recall_prompt.started,typed_response.started,recall_submit.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019161999953212216,0.004218199996103067,0.004218199996103067,3.8242889999964973,space,3.8083158000008552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8243149999980233,3.830960799998138,3.830960799998138,5.131657999998424,space,1.2932845000032103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1320617999954266,5.14059719999932,5.14059719999932,5.861364600001252,space,0.7116564000025392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
A sweet red fruit with seeds,APPLE,old,yes,0,0,0,apple,return,5.402851200000441,None,n,1.2612869000004139,None,None,None,,,,,0,0,0,0,,,,,5.876291299995501,,,,,,,,,,,,,,,,,,,,,,,5.874479599995539,6.361157399995136,6.361157399995136,6.361157399995136,11.770032599997649,apple,return,5.402851200000441,None,11.777722499995434,11.777751299996453,11.782003199994506,12.279841399998986,12.279841399998986,13.550849799998105,n,1.2612869000004139,None,13.550901499998872,13.550926600000821,None,13.550948999996763,13.550967199997103,None,,,,,,,,,,,,,,,,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
A cold winter blanket,SNOW,new,no,1,1,0,"snow
",return,2.362527900004352,None,n,0.8930672999995295,None,None,None,,,,,0,1,1,1,,,,,13.559589999997115,,,,,,,,,,,,,,,,,,,,,,,13.557265700001153,14.049385399994208,14.049385399994208,14.049385399994208,16.419440699995903,"snow
",return,2.362527900004352,None,16.42365509999945,16.423686199996155,16.427420699998038,16.91933820000122,16.91933820000122,17.81926889999886,n,0.8930672999995295,None,17.819336900000053,17.81936599999608,None,17.8193969999993,17.81942049999634,None,,,,,,,,,,,,,,,,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
A wooden box with strings,GUITAR,old,yes,2,2,0,guitar,return,2.65311759999895,None,y,0.6456668999962858,None,a,1,0.27988339999865275,None,0.4497925999967265,None,0,2,2,2,,,,,17.831945099998848,,,,,,,,,,,,,,,,,,,,,,,17.829669899998407,18.318828600000415,18.318828600000415,18.318828600000415,20.978919999994105,guitar,return,2.65311759999895,None,20.983786199998576,20.983819799999765,20.986970599995402,21.478694400000677,21.478694400000677,22.129141899997194,y,0.6456668999962858,None,22.12926460000017,22.91906939999899,a,22.919179399999848,23.86898459999793,1,22.62852389999898,22.62852389999898,0.27988339999865275,None,23.41844239999773,23.41844239999773,0.4497925999967265,None,,,,,,,,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
A large vehicle for many people,BUS,new,no,3,3,0,"bus
",return,3.2519755000030273,None,n,0.9723077000016929,None,None,None,,,,,0,3,3,3,,,,,23.883113899995806,,,,,,,,,,,,,,,,,,,,,,,23.878783100000874,24.36804629999824,24.36804629999824,24.36804629999824,27.62798169999587,"bus
",return,3.2519755000030273,None,27.631701599995722,27.63173249999818,27.635614499995427,28.12789679999696,28.12789679999696,29.108529699995415,n,0.9723077000016929,None,29.108647199995175,29.108699099997466,None,29.10875379999925,29.10879649999697,None,,,,,,,,,,,,,,,,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
A hot drink in a mug,COFFEE,new,no,4,4,0,coffee,return,3.2766491000002134,None,n,0.5132112999999663,None,None,None,,,,,0,4,4,5,,,,,29.12149099999806,,,,,,,,,,,,,,,,,,,,,,,29.119386599995778,29.60747789999732,29.60747789999732,29.60747789999732,32.88728339999943,coffee,return,3.2766491000002134,None,32.89144210000086,32.89147569999477,32.89541989999998,33.38696169999457,33.38696169999457,33.90748750000057,n,0.5132112999999663,None,33.90759429999889,33.90764029999991,None,33.90768630000093,33.90772229999857,None,,,,,,,,,,,,,,,,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
A yellow curved fruit,BANANA,old,yes,5,5,0,banana,return,2.6694336000000476,None,y,2.260740799996711,None,v,1,7.578984600004333,None,1.5209644999995362,None,0,5,5,4,,,,,33.91883759999473,,,,,,,,,,,,,,,,,,,,,,,33.91692269999476,34.40665109999827,34.40665109999827,34.40665109999827,37.07680550000077,banana,return,2.6694336000000476,None,37.07959259999916,37.07962279999629,37.08397210000112,37.57639460000064,37.57639460000064,39.84669859999849,y,2.260740799996711,None,39.846784299996216,47.936581199996,v,47.93661509999947,49.965170299998135,1,40.34598249999544,40.34598249999544,7.578984600004333,None,48.43512270000065,48.43512270000065,1.5209644999995362,None,,,,,,,,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.965364099996805,49.974845599994296,49.974845599994296,51.73524809999799,space,1.757409900004859,None,,,,,twt,retrieval_30min,2026-03-24_16h25.04.767,retrieval_30min,,2025.1.1,100.04692200119317,2026-03-24 16h25.07.930664 +0530,
A house for wheels,PARKINGLOT,old,yes,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,6,51.74698720000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.745058900000004,52.236046400001214,52.236046400001214,52.236046400001214,,,,,,,,,
