definition,word,modality,thisN,thisTrialN,thisRepN,prac_resp.keys,prac_resp.rt,prac_resp.duration,block,rating_response.keys,rating_response.rt,rating_response.duration,break_resp.keys,break_resp.rt,break_resp.duration,practice_rials.thisRepN,practice_rials.thisTrialN,practice_rials.thisN,practice_rials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_resp.started,Instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,prac_instruction.started,text.started,key_resp_2.started,prac_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,practice_trial.started,prac_visual.started,prac_icon.started,prac_audio.started,prac_audio.stopped,prac_visual.stopped,prac_icon.stopped,prac_resp.started,prac_rating_prompt.started,practice_trial.stopped,practice_rials.prac_resp.keys,practice_rials.prac_resp.rt,practice_rials.prac_resp.duration,main_task_start.started,orientation.started,key_resp.started,main_task_start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,visual_stimulus.started,auditory_icon.started,audio_stim.started,visual_stimulus.stopped,auditory_icon.stopped,audio_stim.stopped,rating_response.started,rating_prompt.started,trial.stopped,trials.rating_response.keys,trials.rating_response.rt,trials.rating_response.duration,Break.started,Break.stopped,trials.break_resp.keys,break_text.started,break_resp.started,trials.break_resp.rt,trials.break_resp.duration,End.started,end_text.started,end_key.started,End.stopped,end_key.keys,end_key.rt,end_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.002249700002721511,0.004511799997999333,0.004511799997999333,3.2898174000001745,space,3.274127699995006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2898681000006036,3.293429199999082,3.293429199999082,3.942689399998926,space,0.6412127999938093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A gray giant with a hose,ELEPHANT,auditory,0,0,0,4,1.6618662000037148,None,,,,,,,,0,0,0,0,,,,,3.9968599999992875,,,,,,,,,,,,,,,,3.9947176999994554,4.441754300001776,4.441754300001776,4.448257766667909,9.08102730000246,9.441033800001605,9.441033800001605,9.441033800001605,9.441033800001605,11.111764499997662,4,1.6618662000037148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A wooden box with strings,GUITAR,auditory,1,1,0,2,1.0764481000005617,None,,,,,,,,0,1,1,1,,,,,11.147841400001198,,,,,,,,,,,,,,,,11.145854000002146,11.611133400001563,11.611133400001563,11.617463166669284,16.250448400001915,16.61013130000356,16.61013130000356,16.61013130000356,16.61013130000356,17.69076280000445,2,1.0764481000005617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A loud sky drum,THUNDER,auditory,2,2,0,4,0.5695028000045568,None,,,,,,,,0,2,2,2,,,,,17.73598299999867,,,,,,,,,,,,,,,,17.733651499998814,18.190262399999483,18.190262399999483,18.196807166667227,22.44952419999754,23.189514400000917,23.189514400000917,23.189514400000917,23.189514400000917,23.769769700003962,4,0.5695028000045568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A sweet red fruit with seeds,APPLE,visual,3,3,0,4,1.602587699999276,None,,,,,,,,0,3,3,3,,,,,23.781772000002093,,,,,,,,,,,,,,,,23.780304899999464,24.269494799998938,24.269494799998938,24.275965466669973,29.276691600003687,29.276691600003687,29.276691600003687,29.276691600003687,29.276691600003687,30.88908729999821,4,1.602587699999276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A flying vehicle with wings,AIRPLANE,visual,4,4,0,4,1.4733688999986043,None,,,,,,,,0,4,4,4,,,,,30.902936899998167,,,,,,,,,,,,,,,,30.90141360000416,31.388374499998463,31.388374499998463,31.394928666665024,36.39728399999876,36.39728399999876,36.39728399999876,36.39728399999876,36.39728399999876,37.8779566000012,4,1.4733688999986043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A yellow curved fruit,BANANA,visual,5,5,0,3,0.9616796999980579,None,,,,,,,,0,5,5,5,,,,,37.89344030000211,,,,,,,,,,,,,,,,37.891671600002155,38.377529099998355,38.377529099998355,38.38416246666408,43.3890653999988,43.3890653999988,43.3890653999988,43.3890653999988,43.3890653999988,44.35705930000404,3,0.9616796999980579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.35728240000026,44.36657830000331,44.36657830000331,49.84654469999805,space,5.472203299999819,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A portable shadow box,SUITCASE,visual,0,0,0,,,,1,3,11.366648100003658,None,None,,,,,,,0,0,0,0,49.871360600001935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.86941990000196,50.345946900000854,50.345946900000854,50.352542166667504,55.36034350000409,55.36034350000409,55.36034350000409,55.36034350000409,55.36034350000409,66.73445989999891,3,11.366648100003658,None,66.73460019999766,66.73465600000054,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A silent drummer,HEART,visual,1,1,0,,,,1,4,0.8250948999993852,None,None,,,,,,,0,1,1,1,66.74960529999953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.74772250000387,67.23380840000027,67.23380840000027,67.24038556666734,72.2456377999988,72.2456377999988,72.2456377999988,72.2456377999988,72.2456377999988,73.07374720000371,4,0.8250948999993852,None,73.07387539999763,73.07394059999933,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A spoon with ambition,SHOVEL,visual,2,2,0,,,,1,5,0.5350590000016382,None,None,,,,,,,0,2,2,2,73.08793420000438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.08634400000301,73.57303830000455,73.57303830000455,73.57957096666748,78.5756468000036,78.5756468000036,78.5756468000036,78.5756468000036,78.5756468000036,79.11302240000077,5,0.5350590000016382,None,79.11314739999943,79.11319830000139,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A metal tongue for guitars,PICK,visual,3,3,0,,,,1,3,0.7081535999968764,None,None,,,,,,,0,3,3,3,79.12786490000144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.12624260000302,79.61227230000077,79.61227230000077,79.61874906666732,84.61862790000305,84.61862790000305,84.61862790000305,84.61862790000305,84.61862790000305,85.3321821999998,3,0.7081535999968764,None,85.33231360000354,85.3323584000027,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A glass slipper for drinks,CUP,visual,4,4,0,,,,1,3,1.6643544000035035,None,None,,,,,,,0,4,4,4,85.34442259999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.34274200000073,85.8315803000005,85.8315803000005,85.83814686666689,90.83835469999758,90.83835469999758,90.83835469999758,90.83835469999758,90.83835469999758,92.51126330000261,3,1.6643544000035035,None,92.51140380000288,92.51145120000001,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A glass drum,BOWL,visual,5,5,0,,,,1,4,2.021305400005076,None,None,,,,,,,0,5,5,5,92.52522080000199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.52339519999805,93.01055230000202,93.01055230000202,93.01724926666454,98.01754880000226,98.01754880000226,98.01754880000226,98.01754880000226,98.01754880000226,100.04011360000004,4,2.021305400005076,None,100.04022049999912,100.04026449999947,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A house for wheels,PARKINGLOT,visual,6,6,0,,,,1,5,0.7237679999961983,None,None,,,,,,,0,6,6,6,100.05234449999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.05069499999809,100.53952750000462,100.53952750000462,100.54617946666646,105.54691090000415,105.54691090000415,105.54691090000415,105.54691090000415,105.54691090000415,106.27939390000392,5,0.7237679999961983,None,106.27951680000115,106.27956650000124,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
A glass stomach for flowers,VASE,visual,7,7,0,,,,1,3,0.6455954999983078,None,None,,,,,,,0,7,7,7,106.29231879999861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.29054700000415,106.77875280000444,106.77875280000444,106.78541826666721,111.78517409999768,111.78517409999768,111.78517409999768,111.78517409999768,111.78517409999768,112.43862700000318,3,0.6455954999983078,None,112.43875390000176,112.43882440000016,None,,,,,,,,,,,,ww,encoding,2026-03-24_11h41.09.287,encoding_phase,,2025.1.1,99.7097449365213,2026-03-24 11h41.11.541743 +0530,
