definition,word,old_new,correct_old_new,thisN,thisTrialN,thisRepN,typed_response_2.text,recall_submit_2.keys,recall_submit_2.rt,recall_submit_2.duration,recog_key_2.keys,recog_key_2.rt,recog_key_2.duration,source_key_2.keys,source_key_2.rt,source_key_2.duration,rk_response_2.keys,rk_response_2.rt,rk_response_2.duration,typed_response.text,recall_submit.keys,recall_submit.rt,recall_submit.duration,recog_key.keys,recog_key.rt,recog_key.duration,source_key.keys,source_key.rt,source_key.duration,rk_response.keys,rk_response.rt,rk_response.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials_retrieval.thisRepN,trials_retrieval.thisTrialN,trials_retrieval.thisN,trials_retrieval.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text_3.started,key_resp_4.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_instructions.started,prac_inst.started,prac_key.started,prac_instructions.stopped,prac_key.keys,prac_key.rt,prac_key.duration,prac_cued_recall.started,recall_prompt_2.started,typed_response_2.started,recall_submit_2.started,prac_cued_recall.stopped,prac_trials.typed_response_2.text,prac_trials.recall_submit_2.keys,prac_trials.recall_submit_2.rt,prac_trials.recall_submit_2.duration,prac_recog.started,recog_prompt_2.started,recog_key_2.started,prac_recog.stopped,prac_trials.recog_key_2.keys,prac_trials.recog_key_2.rt,prac_trials.recog_key_2.duration,prac_source.started,source_prompt_2.started,source_key_2.started,prac_source.stopped,prac_trials.source_key_2.keys,prac_trials.source_key_2.rt,prac_trials.source_key_2.duration,prac_rem_know.started,rk_prompt_2.started,rk_response_2.started,prac_rem_know.stopped,prac_trials.rk_response_2.keys,prac_trials.rk_response_2.rt,prac_trials.rk_response_2.duration,main_exp_inst.started,text_4.started,key_resp_3.started,main_exp_inst.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cued_recall.started,recall_prompt.started,typed_response.started,recall_submit.started,cued_recall.stopped,trials_retrieval.typed_response.text,trials_retrieval.recall_submit.keys,trials_retrieval.recall_submit.rt,trials_retrieval.recall_submit.duration,recognition.started,recog_prompt.started,recog_key.started,recognition.stopped,trials_retrieval.recog_key.keys,trials_retrieval.recog_key.rt,trials_retrieval.recog_key.duration,source_memory.started,source_prompt.started,source_key.started,source_memory.stopped,trials_retrieval.source_key.keys,trials_retrieval.source_key.rt,trials_retrieval.source_key.duration,rem_know.started,rk_prompt.started,rk_response.started,rem_know.stopped,trials_retrieval.rk_response.keys,trials_retrieval.rk_response.rt,trials_retrieval.rk_response.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016155000048456714,0.003985900002589915,0.003985900002589915,3.9076371000046493,space,3.898127000000386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90767760000017,3.912396899999294,3.912396899999294,7.562803100001474,space,3.6457032000034815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.562878900003852,7.571757199999411,7.571757199999411,14.191570100003446,space,6.610219000001962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
A sweet red fruit with seeds,APPLE,old,yes,0,0,0,Apple,return,5.1228421999985585,None,y,13.093545700001414,None,a,25.039304700003413,None,3,11.836675300000934,None,,,,,,,,,,,,,,0,0,0,0,,,,,14.211555500005488,,,,,,,,,,,,,,,,,,,,,,,14.209718099999009,14.690893400002096,14.690893400002096,14.690893400002096,19.82049299999926,Apple,return,5.1228421999985585,None,19.824585499998648,20.32028800000262,20.32028800000262,33.4187591000009,y,13.093545700001414,None,33.41882470000564,33.9186852999992,33.9186852999992,58.96603180000238,a,25.039304700003413,None,58.9661469000057,59.46542960000079,59.46542960000079,71.30449790000421,3,11.836675300000934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
A large vehicle for many people,BUS,new,no,1,1,0,bus,return,8.282215999999607,None,n,6.341437800001586,None,None,,,None,,,,,,,,,,,,,,,,0,1,1,3,,,,,71.31595930000185,,,,,,,,,,,,,,,,,,,,,,,71.3106770000013,71.80363159999979,71.80363159999979,71.80363159999979,80.09279220000462,bus,return,8.282215999999607,None,80.09801240000525,80.5925578000024,80.5925578000024,86.94246820000262,n,6.341437800001586,None,86.94258919999993,,,86.942644200004,None,,,86.94269160000113,,,86.94273170000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
A cold winter blanket,SNOW,new,no,2,2,0,snow,return,11.252324499997485,None,n,1.3176087999963784,None,None,,,None,,,,,,,,,,,,,,,,0,2,2,1,,,,,86.95314420000068,,,,,,,,,,,,,,,,,,,,,,,86.94816859999992,87.44158360000438,87.44158360000438,87.44158360000438,98.70045290000417,snow,return,11.252324499997485,None,98.70564120000199,99.20037820000289,99.20037820000289,100.52064840000094,n,1.3176087999963784,None,100.52075709999917,,,100.52080600000045,None,,,100.5208793999991,,,100.52092290000292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
A yellow curved fruit,BANANA,old,yes,3,3,0,"banana
",return,5.162096300002304,None,y,1.2687254999982542,None,a,0.6509702000039397,None,1,3.5468094000025303,None,,,,,,,,,,,,,,0,3,3,4,,,,,100.529978700004,,,,,,,,,,,,,,,,,,,,,,,100.52622079999855,101.01981679999881,101.01981679999881,101.01981679999881,106.18967450000491,"banana
",return,5.162096300002304,None,106.19515130000218,106.68952770000033,106.68952770000033,107.96018770000228,y,1.2687254999982542,None,107.96031090000179,108.45924999999988,108.45924999999988,109.11961910000537,a,0.6509702000039397,None,109.11969880000106,109.61915980000049,109.61915980000049,113.16939909999928,1,3.5468094000025303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
A hot drink in a mug,COFFEE,new,no,4,4,0,"coffee
",return,5.161572299999534,None,n,1.0202492999960668,None,None,,,None,,,,,,,,,,,,,,,,0,4,4,5,,,,,113.18131650000578,,,,,,,,,,,,,,,,,,,,,,,113.17574009999953,113.66850410000188,113.66850410000188,113.66850410000188,118.83805620000203,"coffee
",return,5.161572299999534,None,118.84291620000295,119.33790299999964,119.33790299999964,120.36834340000496,n,1.0202492999960668,None,120.36845520000497,,,120.36850820000109,None,,,120.36856260000059,,,120.36860530000558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
A wooden box with strings,GUITAR,old,yes,5,5,0,"guitar
",return,3.4823648000019602,None,y,1.5166792000018177,None,a,1.6092910000006668,None,2,6.355830900000001,None,,,,,,,,,,,,,,0,5,5,2,,,,,120.37759780000488,,,,,,,,,,,,,,,,,,,,,,,120.37409390000539,120.867582400002,120.867582400002,120.867582400002,124.35741419999977,"guitar
",return,3.4823648000019602,None,124.3629557000022,124.85723570000118,124.85723570000118,126.37779370000499,y,1.5166792000018177,None,126.37790350000432,126.87693550000404,126.87693550000404,128.48746020000544,a,1.6092910000006668,None,128.48756739999953,128.9867832000018,128.9867832000018,135.346775900005,2,6.355830900000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.3470043000052,135.35660780000035,135.35660780000035,141.914972999999,space,6.553234999999404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_11h57.18.935,retrieval_30min,,2025.1.1,99.97110835663393,2026-03-24 11h57.23.037533 +0530,
