definition,word,old_new,correct_old_new,thisN,thisTrialN,thisRepN,typed_response_2.text,recall_submit_2.keys,recall_submit_2.rt,recall_submit_2.duration,recog_key_2.keys,recog_key_2.rt,recog_key_2.duration,source_key_2.keys,rk_response_2.keys,source_key_2.rt,source_key_2.duration,rk_response_2.rt,rk_response_2.duration,typed_response.text,recall_submit.keys,recall_submit.rt,recall_submit.duration,recog_key.keys,recog_key.rt,recog_key.duration,source_key.keys,source_key.rt,source_key.duration,rk_response.keys,rk_response.rt,rk_response.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials_retrieval.thisRepN,trials_retrieval.thisTrialN,trials_retrieval.thisN,trials_retrieval.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text_3.started,key_resp_4.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_instructions.started,prac_inst.started,prac_key.started,prac_instructions.stopped,prac_key.keys,prac_key.rt,prac_key.duration,prac_cued_recall.started,recall_prompt_2.started,typed_response_2.started,recall_submit_2.started,prac_cued_recall.stopped,prac_trials.typed_response_2.text,prac_trials.recall_submit_2.keys,prac_trials.recall_submit_2.rt,prac_trials.recall_submit_2.duration,prac_recog.started,recog_prompt_2.started,recog_key_2.started,prac_recog.stopped,prac_trials.recog_key_2.keys,prac_trials.recog_key_2.rt,prac_trials.recog_key_2.duration,prac_source.started,prac_source.stopped,prac_trials.source_key_2.keys,prac_rem_know.started,prac_rem_know.stopped,prac_trials.rk_response_2.keys,source_prompt_2.started,source_key_2.started,prac_trials.source_key_2.rt,prac_trials.source_key_2.duration,rk_prompt_2.started,rk_response_2.started,prac_trials.rk_response_2.rt,prac_trials.rk_response_2.duration,main_exp_inst.started,text_4.started,key_resp_3.started,main_exp_inst.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cued_recall.started,recall_prompt.started,typed_response.started,recall_submit.started,cued_recall.stopped,trials_retrieval.typed_response.text,trials_retrieval.recall_submit.keys,trials_retrieval.recall_submit.rt,trials_retrieval.recall_submit.duration,recognition.started,recog_prompt.started,recog_key.started,recognition.stopped,trials_retrieval.recog_key.keys,trials_retrieval.recog_key.rt,trials_retrieval.recog_key.duration,source_memory.started,source_prompt.started,source_key.started,source_memory.stopped,trials_retrieval.source_key.keys,trials_retrieval.source_key.rt,trials_retrieval.source_key.duration,rem_know.started,rk_prompt.started,rk_response.started,rem_know.stopped,trials_retrieval.rk_response.keys,trials_retrieval.rk_response.rt,trials_retrieval.rk_response.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0020109999968553893,0.004399799996463116,0.004399799996463116,3.9188174000009894,space,3.9022369000012986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91886489999888,3.9233184999975492,3.9233184999975492,4.932353299998795,space,1.0075760000036098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.932425699997111,4.941095599999244,4.941095599999244,5.831948200000625,space,0.885419099999126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
A hot drink in a mug,COFFEE,new,no,0,0,0, coffe,return,4.503659699999844,None,n,5.782120500000019,None,None,None,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,5.846623299999919,,,,,,,,,,,,,,,,,,,,,,,5.84447899999941,6.331158299995877,6.331158299995877,6.331158299995877,10.840894900000421, coffe,return,4.503659699999844,None,10.846502899999905,11.340700900000229,11.340700900000229,17.13039569999819,n,5.782120500000019,None,17.13050739999744,17.130575899995165,None,17.130626799997117,17.130668799996783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
A wooden box with strings,GUITAR,old,yes,1,1,0,guitar,return,4.077016700000968,None,y,2.0814689000035287,None,a,1,0.8121893999996246,None,3.1319086000003153,None,,,,,,,,,,,,,,0,1,1,2,,,,,17.141566799997236,,,,,,,,,,,,,,,,,,,,,,,17.136544099994353,17.629350199997134,17.629350199997134,17.629350199997134,21.709315100000822,guitar,return,4.077016700000968,None,21.71498040000006,22.209147399997164,22.209147399997164,24.29942740000115,y,2.0814689000035287,None,24.299529099997017,25.619421399998828,a,25.619537200000195,29.25888180000038,1,24.79880140000023,24.79880140000023,0.8121893999996246,None,26.11854389999644,26.11854389999644,3.1319086000003153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
A cold winter blanket,SNOW,new,no,2,2,0,no,return,6.524727599993639,None,n,1.103095200000098,None,None,None,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,29.269018899998628,,,,,,,,,,,,,,,,,,,,,,,29.26398049999989,29.757974000000104,29.757974000000104,29.757974000000104,36.287627499994414,no,return,6.524727599993639,None,36.29174680000142,36.78734899999836,36.78734899999836,37.89743539999472,n,1.103095200000098,None,37.897501999999804,37.897533899995324,None,37.89756479999778,37.89758859999711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
A yellow curved fruit,BANANA,old,yes,3,3,0,banana,return,3.805877099999634,None,y,1.5042577999993227,None,v,3,10.790449200001603,None,1.275714400006109,None,,,,,,,,,,,,,,0,3,3,4,,,,,37.906676999999036,,,,,,,,,,,,,,,,,,,,,,,37.901413599996886,38.3968062999993,38.3968062999993,38.3968062999993,42.206733399994846,banana,return,3.805877099999634,None,42.21127379999962,42.706510199997865,42.706510199997865,44.21720139999525,y,1.5042577999993227,None,44.2173324999967,55.5160659999965,v,55.51612639999803,57.295537899997726,3,44.71623499999987,44.71623499999987,10.790449200001603,None,56.01475489999575,56.01475489999575,1.275714400006109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
A sweet red fruit with seeds,APPLE,old,yes,4,4,0,"apple
",return,12.120048900003894,None,y,0.9717220000020461,None,v,2,1.4920429999983753,None,4.348127500001283,None,,,,,,,,,,,,,,0,4,4,0,,,,,57.30664740000066,,,,,,,,,,,,,,,,,,,,,,,57.300893200001155,57.79430649999995,57.79430649999995,57.79430649999995,69.92317959999491,"apple
",return,12.120048900003894,None,69.92736689999583,70.42301359999692,70.42301359999692,71.40335839999898,y,0.9717220000020461,None,71.40346779999527,73.40315739999642,v,73.40325419999863,78.25240399999893,2,71.9028421999974,71.9028421999974,1.4920429999983753,None,73.90243539999938,73.90243539999938,4.348127500001283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
A large vehicle for many people,BUS,new,no,5,5,0,"bus
",return,2.5788497000030475,None,n,2.009262999999919,None,None,None,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,78.2637418000013,,,,,,,,,,,,,,,,,,,,,,,78.25743789999979,78.75178569999844,78.75178569999844,78.75178569999844,81.34174189999612,"bus
",return,2.5788497000030475,None,81.34671539999545,81.84157349999441,81.84157349999441,83.86161049999646,n,2.009262999999919,None,83.8616877999957,83.86172570000053,None,83.86176119999436,83.86178970000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.86190910000005,83.87113479999971,83.87113479999971,91.2505544999949,space,7.371176199994807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_30min,2026-03-24_12h08.58.858,retrieval_30min,,2025.1.1,99.9556197029185,2026-03-24 12h09.02.689173 +0530,
