definition,word,old_new,correct_old_new,thisN,thisTrialN,thisRepN,typed_response_2.text,recall_submit_2.keys,recall_submit_2.rt,recall_submit_2.duration,recog_key_2.keys,recog_key_2.rt,recog_key_2.duration,source_key_2.keys,source_key_2.rt,source_key_2.duration,rk_response_2.keys,rk_response_2.rt,rk_response_2.duration,typed_response.text,recall_submit.keys,recall_submit.rt,recall_submit.duration,recog_key.keys,recog_key.rt,recog_key.duration,source_key.keys,source_key.rt,source_key.duration,rk_response.keys,rk_response.rt,rk_response.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials_retrieval.thisRepN,trials_retrieval.thisTrialN,trials_retrieval.thisN,trials_retrieval.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text_3.started,key_resp_4.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_instructions.started,prac_inst.started,prac_key.started,prac_instructions.stopped,prac_key.keys,prac_key.rt,prac_key.duration,prac_cued_recall.started,recall_prompt_2.started,typed_response_2.started,recall_submit_2.started,prac_cued_recall.stopped,prac_trials.typed_response_2.text,prac_trials.recall_submit_2.keys,prac_trials.recall_submit_2.rt,prac_trials.recall_submit_2.duration,prac_recall_fb.started,prac_recall_fb.stopped,prac_recog.started,recog_prompt_2.started,recog_key_2.started,prac_recog.stopped,prac_trials.recog_key_2.keys,prac_trials.recog_key_2.rt,prac_trials.recog_key_2.duration,prac_source.started,source_prompt_2.started,source_key_2.started,prac_source.stopped,prac_trials.source_key_2.keys,prac_trials.source_key_2.rt,prac_trials.source_key_2.duration,prac_rem_know.started,rk_prompt_2.started,rk_response_2.started,prac_rem_know.stopped,prac_trials.rk_response_2.keys,prac_trials.rk_response_2.rt,prac_trials.rk_response_2.duration,feedback_2.started,feedback_2.stopped,main_exp_inst.started,text_4.started,key_resp_3.started,main_exp_inst.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cued_recall.started,recall_prompt.started,typed_response.started,recall_submit.started,cued_recall.stopped,trials_retrieval.typed_response.text,trials_retrieval.recall_submit.keys,trials_retrieval.recall_submit.rt,trials_retrieval.recall_submit.duration,recall_feedback.started,recall_feedback.stopped,recognition.started,recog_prompt.started,recog_key.started,recognition.stopped,trials_retrieval.recog_key.keys,trials_retrieval.recog_key.rt,trials_retrieval.recog_key.duration,source_memory.started,source_prompt.started,source_key.started,source_memory.stopped,trials_retrieval.source_key.keys,trials_retrieval.source_key.rt,trials_retrieval.source_key.duration,rem_know.started,rk_prompt.started,rk_response.started,rem_know.stopped,trials_retrieval.rk_response.keys,trials_retrieval.rk_response.rt,trials_retrieval.rk_response.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017411000007996336,0.0039883999997982755,0.0039883999997982755,6.852522300003329,space,6.836309799997252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85256020000088,6.86368780000339,6.86368780000339,9.776925300000585,space,2.9046234999987064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.77701010000601,9.786214700005075,9.786214700005075,11.196598200003791,space,1.4060180999949807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
A sweet red fruit with seeds,APPLE,old,yes,0,0,0,"apple
",return,2.392068000001018,None,y,0.7485667000000831,None,v,1.6994553000040469,None,2,1.3768885000026785,None,,,,,,,,,,,,,,0,0,0,0,,,,,11.210423500000616,,,,,,,,,,,,,,,,,,,,,,,11.208203700000013,11.695821900000738,11.695821900000738,11.695821900000738,14.095774000001256,"apple
",return,2.392068000001018,None,14.100851400005922,14.10086869999941,14.103602900002443,14.595504200005962,14.595504200005962,15.345632900003693,y,0.7485667000000831,None,15.345679400001245,15.8451739000011,15.8451739000011,17.556304000005184,v,1.6994553000040469,None,17.556358000001637,18.055398700002115,18.055398700002115,19.435726800002158,2,1.3768885000026785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
A large vehicle for many people,BUS,new,no,1,1,0,,return,1.3451193000000785,None,n,0.9601134999975329,None,None,,,None,,,,,,,,,,,,,,,,0,1,1,3,,,,,19.450748200004455,,,,,,,,,,,,,,,,,,,,,,,19.445225300005404,19.93482760000188,19.93482760000188,19.93482760000188,21.28484500000195,,return,1.3451193000000785,None,21.28745560000243,23.284890100003395,23.291608300001826,23.78443430000334,23.78443430000334,24.755293200003507,n,0.9601134999975329,None,24.755351300002076,,,24.755376699999033,None,,,24.755403499999375,,,24.755422700000054,None,,,21.294557900000655,23.294305800001894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
A cold winter blanket,SNOW,new,no,2,2,0,,return,3.5859256999974605,None,n,0.32097600000270177,None,None,,,None,,,,,,,,,,,,,,,,0,2,2,1,,,,,24.766060200003267,,,,,,,,,,,,,,,,,,,,,,,24.764585400000215,25.25410810000176,25.25410810000176,25.25410810000176,28.843967000000703,,return,3.5859256999974605,None,28.847645699999703,30.84381199999916,30.851152000002912,31.343567600000824,31.343567600000824,31.67357940000511,n,0.32097600000270177,None,31.673640000000887,,,31.67366570000013,None,,,31.673693900003855,,,31.67371439999988,None,,,28.853598800000327,30.85338170000614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
A hot drink in a mug,COFFEE,new,no,3,3,0,"
",return,1.762660300002608,None,n,0.10984489999827929,None,None,,,None,,,,,,,,,,,,,,,,0,3,3,5,,,,,31.68326280000474,,,,,,,,,,,,,,,,,,,,,,,31.680662999999186,32.17328970000381,32.17328970000381,32.17328970000381,33.94333360000019,"
",return,1.762660300002608,None,33.94739480000135,35.9432586000039,35.9504012000034,36.44279500000266,36.44279500000266,36.56319930000609,n,0.10984489999827929,None,36.56328349999967,,,36.56331940000382,None,,,36.56335780000518,,,36.563385300003574,None,,,33.95298280000134,35.95271060000232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
A wooden box with strings,GUITAR,old,yes,4,4,0,,return,3.6172294999996666,None,y,0.31439769999997225,None,a,5.878716400002304,None,3,2.3951285000002827,None,,,,,,,,,,,,,,0,4,4,2,,,,,36.57286820000445,,,,,,,,,,,,,,,,,,,,,,,36.57131740000477,37.062583700004325,37.062583700004325,37.062583700004325,40.68246310000541,,return,3.6172294999996666,None,40.685689800004184,42.682453300003544,42.689575700002024,43.18186699999933,43.18186699999933,43.502477500005625,y,0.31439769999997225,None,43.502575700003945,44.00169620000088,44.00169620000088,49.88142570000491,a,5.878716400002304,None,49.88150680000399,50.381005000002915,50.381005000002915,52.781324100003985,3,2.3951285000002827,None,40.692059699998936,42.69194090000383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
A yellow curved fruit,BANANA,old,yes,5,5,0,"banana
",return,3.3196965000024647,None,y,0.9219708000018727,None,v,1.0603367000003345,None,1,1.2340784999978496,None,,,,,,,,,,,,,,0,5,5,4,,,,,52.796925100003136,,,,,,,,,,,,,,,,,,,,,,,52.79014509999979,53.28061520000483,53.28061520000483,53.28061520000483,56.61038570000528,"banana
",return,3.3196965000024647,None,56.61308220000501,56.613113600004,56.61631209999905,57.11026900000434,57.11026900000434,58.04061709999951,y,0.9219708000018727,None,58.04073050000443,58.53994960000273,58.53994960000273,59.61046809999971,v,1.0603367000003345,None,59.61057029999938,60.10997270000371,60.10997270000371,61.35006340000109,1,1.2340784999978496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.35027390000323,61.36063030000514,61.36063030000514,63.879325800000515,space,2.5114880000037374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ww,retrieval_24h,2026-03-24_16h27.50.238,retrieval_30min,,2025.1.1,100.10290578556763,2026-03-24 16h27.56.742596 +0530,
