definition,word,old_new,correct_old_new,thisN,thisTrialN,thisRepN,typed_response_2.text,recall_submit_2.keys,recall_submit_2.rt,recall_submit_2.duration,recog_key_2.keys,recog_key_2.rt,recog_key_2.duration,source_key_2.keys,source_key_2.rt,source_key_2.duration,rk_response_2.keys,rk_response_2.rt,rk_response_2.duration,typed_response.text,recall_submit.keys,recall_submit.rt,recall_submit.duration,recog_key.keys,recog_key.rt,recog_key.duration,source_key.keys,rk_response.keys,source_key.rt,source_key.duration,rk_response.rt,rk_response.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,trials_retrieval.thisRepN,trials_retrieval.thisTrialN,trials_retrieval.thisN,trials_retrieval.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions2.started,text_3.started,key_resp_4.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_instructions.started,prac_inst.started,prac_key.started,prac_instructions.stopped,prac_key.keys,prac_key.rt,prac_key.duration,prac_cued_recall.started,recall_prompt_2.started,typed_response_2.started,recall_submit_2.started,prac_cued_recall.stopped,prac_trials.typed_response_2.text,prac_trials.recall_submit_2.keys,prac_trials.recall_submit_2.rt,prac_trials.recall_submit_2.duration,prac_recall_fb.started,feedback_2.started,feedback_2.stopped,prac_recall_fb.stopped,prac_recog.started,recog_prompt_2.started,recog_key_2.started,prac_recog.stopped,prac_trials.recog_key_2.keys,prac_trials.recog_key_2.rt,prac_trials.recog_key_2.duration,prac_source.started,source_prompt_2.started,source_key_2.started,prac_source.stopped,prac_trials.source_key_2.keys,prac_trials.source_key_2.rt,prac_trials.source_key_2.duration,prac_rem_know.started,rk_prompt_2.started,rk_response_2.started,prac_rem_know.stopped,prac_trials.rk_response_2.keys,prac_trials.rk_response_2.rt,prac_trials.rk_response_2.duration,main_exp_inst.started,text_4.started,key_resp_3.started,main_exp_inst.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cued_recall.started,recall_prompt.started,typed_response.started,recall_submit.started,cued_recall.stopped,trials_retrieval.typed_response.text,trials_retrieval.recall_submit.keys,trials_retrieval.recall_submit.rt,trials_retrieval.recall_submit.duration,recall_feedback.started,feedback.started,feedback.stopped,recall_feedback.stopped,recognition.started,recog_prompt.started,recog_key.started,recognition.stopped,trials_retrieval.recog_key.keys,trials_retrieval.recog_key.rt,trials_retrieval.recog_key.duration,source_memory.started,source_memory.stopped,trials_retrieval.source_key.keys,rem_know.started,rem_know.stopped,trials_retrieval.rk_response.keys,source_prompt.started,source_key.started,trials_retrieval.source_key.rt,trials_retrieval.source_key.duration,rk_prompt.started,rk_response.started,trials_retrieval.rk_response.rt,trials_retrieval.rk_response.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018931000013253652,0.004096900003787596,0.004096900003787596,57.30367230000411,space,57.21846309999819,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.30370699999912,57.30654330000107,57.30654330000107,57.81200700000045,space,0.49931939999805763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.81208550000156,57.82114079999883,57.82114079999883,58.53158070000063,space,0.704457599997113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
A yellow curved fruit,BANANA,old,yes,0,0,0,,return,4.65467229999922,None,y,14.431433199999447,None,v,5.421279499998491,None,1,1.0037859000003664,None,,,,,,,,,,,,,,0,0,0,4,,,,,58.54787539999961,,,,,,,,,,,,,,,,,,,,,,,58.545745700001135,59.030830000003334,59.030830000003334,59.030830000003334,63.690469300003315,,return,4.65467229999922,None,63.70191909999994,63.70453980000457,65.69981800000096,65.6905390000029,65.69700919999741,66.19028709999839,66.19028709999839,80.62872120000247,y,14.431433199999447,None,80.62883570000122,81.1282859999992,81.1282859999992,86.55812200000219,v,5.421279499998491,None,86.55824360000406,87.05786870000156,87.05786870000156,88.0680418999982,1,1.0037859000003664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
A hot drink in a mug,COFFEE,new,no,1,1,0,"
",return,12.150471500004642,None,n,1.0686914000034449,None,None,,,None,,,,,,,,,,,,,,,,0,1,1,5,,,,,88.08385650000127,,,,,,,,,,,,,,,,,,,,,,,88.07947330000025,88.56705270000384,88.56705270000384,88.56705270000384,100.72593159999815,"
",return,12.150471500004642,None,100.73061060000327,100.73541529999784,102.73828530000173,102.72605959999782,102.73641930000304,103.22544100000232,103.22544100000232,104.29578159999801,n,1.0686914000034449,None,104.29587090000132,,,104.29590930000268,None,,,104.29594950000319,,,104.29597970000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
A cold winter blanket,SNOW,new,no,2,2,0,,return,1.5146662999977707,None,n,0.38284890000068117,None,None,,,None,,,,,,,,,,,,,,,,0,2,2,1,,,,,104.30876949999947,,,,,,,,,,,,,,,,,,,,,,,104.30359309999767,104.79505069999868,104.79505069999868,104.79505069999868,106.31523490000109,,return,1.5146662999977707,None,106.31897400000162,106.3248573000019,108.32455150000169,108.31526329999906,108.32180489999882,108.81464419999975,108.81464419999975,109.20477390000451,n,0.38284890000068117,None,109.20484289999877,,,109.20487159999902,None,,,109.20490029999928,,,109.2049216000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
A wooden box with strings,GUITAR,old,yes,3,3,0,guitar,return,4.853089999996882,None,y,1.4699327000053017,None,a,3.0498440000010305,None,1,0.6262483999962569,None,,,,,,,,,,,,,,0,3,3,2,,,,,109.21534010000323,,,,,,,,,,,,,,,,,,,,,,,109.21219920000294,109.7044920000044,109.7044920000044,109.7044920000044,114.56399539999984,guitar,return,4.853089999996882,None,114.56846170000063,,,114.56848130000435,114.57124119999935,115.06384400000388,115.06384400000388,116.54425820000324,y,1.4699327000053017,None,116.54436939999869,117.04374919999827,117.04374919999827,120.10401950000232,a,3.0498440000010305,None,120.10410860000411,120.60349290000158,120.60349290000158,121.2336976000006,1,0.6262483999962569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
A large vehicle for many people,BUS,new,no,4,4,0,"bus
",return,3.6811114999945858,None,y,2.3394595999998273,None,v,1.6515642999947886,None,1,0.7079234000048018,None,,,,,,,,,,,,,,0,4,4,3,,,,,121.24682729999768,,,,,,,,,,,,,,,,,,,,,,,121.24476560000039,121.73285120000219,121.73285120000219,121.73285120000219,125.42279899999994,"bus
",return,3.6811114999945858,None,125.42529009999998,,,125.42531659999804,125.42833590000373,125.92274909999833,125.92274909999833,128.26280370000313,y,2.3394595999998273,None,128.26292280000052,128.76226670000324,128.76226670000324,130.42256749999797,v,1.6515642999947886,None,130.4226875000022,130.92201360000035,130.92201360000035,131.6322394000017,1,0.7079234000048018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
A sweet red fruit with seeds,APPLE,old,yes,5,5,0,"apple
",return,3.090217000004486,None,y,1.2422192000012728,None,v,1.309079799997562,None,1,0.49118969999835826,None,,,,,,,,,,,,,,0,5,5,0,,,,,131.64249340000242,,,,,,,,,,,,,,,,,,,,,,,131.64057270000194,132.13157240000146,132.13157240000146,132.13157240000146,135.23147520000202,"apple
",return,3.090217000004486,None,135.23544270000275,,,135.23546860000351,135.23851999999897,135.73138540000218,135.73138540000218,136.9817103000023,y,1.2422192000012728,None,136.9818116000024,137.48104869999952,137.48104869999952,138.79148620000342,v,1.309079799997562,None,138.791581700003,139.29094160000386,139.29094160000386,139.7913200000039,1,0.49118969999835826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7915142999991,139.8008409000031,139.8008409000031,140.9116170999987,space,1.10919339999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwww,retrieval_30min,2026-03-24_16h19.43.383,retrieval_30min,,2025.1.1,100.12936714534911,2026-03-24 16h19.53.793306 +0530,
